"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
255, -9.408807689542254e+00, 3.387379202452913e+00, 4.613673169520502e-01, 9.227346339041004e-01, 8.209202467557936e-06, 2.280193703906422e-05, 0.000000000000000e+00
256, -9.387338576538740e+00, 3.446429231745170e+00, 4.564605657295707e-01, 9.129211314591413e-01, 8.624359537304934e-06, 2.349091698641501e-05, 0.000000000000000e+00
257, -9.365498867481923e+00, 3.505343201912589e+00, 4.522360884963516e-01, 9.044721769927032e-01, 8.891708585782406e-06, 2.375667142797432e-05, 0.000000000000000e+00
258, -9.343289424566120e+00, 3.564118787132506e+00, 4.482485847624255e-01, 8.964971695248509e-01, 9.132341407483193e-06, 2.394031007106640e-05, 0.000000000000000e+00
259, -9.320711124582109e+00, 3.622753667045457e+00, 4.439448978071222e-01, 8.878897956142443e-01, 9.431844651220699e-06, 2.426648550953364e-05, 0.000000000000000e+00
260, -9.297764858882514e+00, 3.681245526846779e+00, 4.398480615512493e-01, 8.796961231024987e-01, 9.461523844645257e-06, 2.389708137440639e-05, 0.000000000000000e+00
261, -9.274451533346614e+00, 3.739592057378003e+00, 4.343487702389257e-01, 8.686975404778513e-01, 9.697103594179598e-06, 2.404949949570560e-05, 0.000000000000000e+00
262, -9.250772068344581e+00, 3.797790955218010e+00, 4.287084366029553e-01, 8.574168732059105e-01, 1.015228734431466e-05, 2.472924321059854e-05, 0.000000000000000e+00
263, -9.226727398701149e+00, 3.855839922773965e+00, 4.230220171784309e-01, 8.460440343568617e-01, 1.049503523470375e-05, 2.511380946559155e-05, 0.000000000000000e+00
264, -9.202318473658703e+00, 3.913736668372023e+00, 4.181395057180754e-01, 8.362790114361508e-01, 1.091302049114426e-05, 2.565964411469908e-05, 0.000000000000000e+00
265, -9.177546256839811e+00, 3.971478906347805e+00, 4.136734057063465e-01, 8.273468114126930e-01, 1.119495385189960e-05, 2.587001196324666e-05, 0.000000000000000e+00
266, -9.152411726209177e+00, 4.029064357136626e+00, 4.081498490474705e-01, 8.162996980949410e-01, 1.153813526895894e-05, 2.620999695553550e-05, 0.000000000000000e+00
267, -9.126915874035028e+00, 4.086490747363490e+00, 4.023226312773554e-01, 8.046452625547108e-01, 1.224013159349049e-05, 2.733755151971959e-05, 0.000000000000000e+00
268, -9.101059706849957e+00, 4.143755809932840e+00, 3.975079854226858e-01, 7.950159708453717e-01, 1.286860189590881e-05, 2.826371040436501e-05, 0.000000000000000e+00
269, -9.074844245411169e+00, 4.200857284118062e+00, 3.930199267060298e-01, 7.860398534120596e-01, 1.273537659777962e-05, 2.751142236334556e-05, 0.000000000000000e+00
270, -9.048270524660197e+00, 4.257792915650725e+00, 3.869398114999075e-01, 7.738796229998149e-01, 1.263926986616375e-05, 2.685981569532337e-05, 0.000000000000000e+00
271, -9.021339593682029e+00, 4.314560456809589e+00, 3.800745814234872e-01, 7.601491628469743e-01, 1.300158278786400e-05, 2.718508519206697e-05, 0.000000000000000e+00
272, -8.994052515663711e+00, 4.371157666509328e+00, 3.734786193381244e-01, 7.469572386762487e-01, 1.376162628910201e-05, 2.831579160217301e-05, 0.000000000000000e+00
273, -8.966410367852358e+00, 4.427582310389014e+00, 3.690017585124430e-01, 7.380035170248861e-01, 1.420885080243627e-05, 2.877470777929607e-05, 0.000000000000000e+00
274, -8.938414241512637e+00, 4.483832160900321e+00, 3.645236153325232e-01, 7.290472306650464e-01, 1.395794767839217e-05, 2.782484130400336e-05, 0.000000000000000e+00
275, -8.910065241883679e+00, 4.539904997395467e+00, 3.596102471929101e-01, 7.192204943858201e-01, 1.368847558663149e-05, 2.686514599067398e-05, 0.000000000000000e+00
276, -8.881364488135446e+00, 4.595798606214878e+00, 3.527644652158215e-01, 7.055289304316430e-01, 1.366645247439271e-05, 2.641037088107478e-05, 0.000000000000000e+00
277, -8.852313113324552e+00, 4.651510780774582e+00, 3.436087691089117e-01, 6.872175382178234e-01, 1.433319333282087e-05, 2.727757093896560e-05, 0.000000000000000e+00
278, -8.822912264349533e+00, 4.707039321653324e+00, 3.344050266559857e-01, 6.688100533119714e-01, 1.543928680429016e-05, 2.893952303983229e-05, 0.000000000000000e+00
279, -8.793163101905563e+00, 4.762382036679390e+00, 3.273081825833993e-01, 6.546163651667987e-01, 1.624313620632297e-05, 2.999098872131972e-05, 0.000000000000000e+00
280, -8.763066800438637e+00, 4.817536741017152e+00, 3.217507706921005e-01, 6.435015413842009e-01, 1.647561322141004e-05, 2.996902919456031e-05, 0.000000000000000e+00
281, -8.732624548099201e+00, 4.872501257253322e+00, 3.164594727631226e-01, 6.329189455262453e-01, 1.666173138819358e-05, 2.986159199400403e-05, 0.000000000000000e+00
282, -8.701837546695257e+00, 4.927273415482915e+00, 3.122711721157040e-01, 6.245423442314080e-01, 1.686527345410691e-05, 2.978500631141719e-05, 0.000000000000000e+00
283, -8.670707011644900e+00, 4.981851053394909e+00, 3.066141181817711e-01, 6.132282363635422e-01, 1.715885975619506e-05, 2.986429020162593e-05, 0.000000000000000e+00
284, -8.639234171928353e+00, 5.036232016357609e+00, 3.004274594580145e-01, 6.008549189160289e-01, 1.781712597553185e-05, 3.056378718721070e-05, 0.000000000000000e+00
285, -8.607420270039436e+00, 5.090414157503714e+00, 2.945384117064144e-01, 5.890768234128289e-01, 1.825876681821468e-05, 3.087388859811260e-05, 0.000000000000000e+00
286, -8.575266561936521e+00, 5.144395337815066e+00, 2.868980487070220e-01, 5.737960974140439e-01, 1.862804841878512e-05, 3.105136176948385e-05, 0.000000000000000e+00
287, -8.542774316992951e+00, 5.198173426207098e+00, 2.803976442228753e-01, 5.607952884457507e-01, 1.874860152195657e-05, 3.081179838168116e-05, 0.000000000000000e+00
288, -8.509944817946916e+00, 5.251746299612959e+00, 2.724723027668614e-01, 5.449446055337228e-01, 1.921600111260813e-05, 3.113766350479537e-05, 0.000000000000000e+00
289, -8.476779360850831e+00, 5.305111843067344e+00, 2.650978604928740e-01, 5.301957209857481e-01, 2.013344779219457e-05, 3.217025385254918e-05, 0.000000000000000e+00
290, -8.443279255020148e+00, 5.358267949789970e+00, 2.588015871286218e-01, 5.176031742572436e-01, 2.059189875388161e-05, 3.244764039411963e-05, 0.000000000000000e+00
291, -8.409445822981688e+00, 5.411212521268762e+00, 2.522967578871416e-01, 5.045935157742832e-01, 2.053074198653892e-05, 3.190637251130057e-05, 0.000000000000000e+00
292, -8.375280400421413e+00, 5.463943467342696e+00, 2.443565457800365e-01, 4.887130915600731e-01, 2.042724588697658e-05, 3.131143525446994e-05, 0.000000000000000e+00
293, -8.340784336131708e+00, 5.516458706284308e+00, 2.362724968763072e-01, 4.725449937526143e-01, 2.098644399555302e-05, 3.173111821716582e-05, 0.000000000000000e+00
294, -8.305958991958123e+00, 5.568756164881885e+00, 2.294538662864373e-01, 4.589077325728745e-01, 2.141534124913588e-05, 3.194159358885781e-05, 0.000000000000000e+00
295, -8.270805742745614e+00, 5.620833778521312e+00, 2.222708285608640e-01, 4.445416571217280e-01, 2.159687010161714e-05, 3.177882931609813e-05, 0.000000000000000e+00
296, -8.235325976284271e+00, 5.672689491267571e+00, 2.168894662852237e-01, 4.337789325704473e-01, 2.182162541621103e-05, 3.167954087942091e-05, 0.000000000000000e+00
297, -8.199521093254518e+00, 5.724321255945916e+00, 2.120494264865624e-01, 4.240988529731248e-01, 2.168020048019921e-05, 3.105473176557497e-05, 0.000000000000000e+00
298, -8.163392507171835e+00, 5.775727034222683e+00, 2.052245626068617e-01, 4.104491252137233e-01, 2.193669040093156e-05, 3.100524193578197e-05, 0.000000000000000e+00
299, -8.126941644330934e+00, 5.826904796685768e+00, 1.972326879710292e-01, 3.944653759420585e-01, 2.237122287430096e-05, 3.120174932584749e-05, 0.000000000000000e+00
300, -8.090169943749469e+00, 5.877852522924739e+00, 1.888707534855134e-01, 3.777415069710267e-01, 2.266571124127390e-05, 3.119667516710934e-05, 0.000000000000000e+00
301, -8.053078857111213e+00, 5.928568201610601e+00, 1.803882679243697e-01, 3.607765358487395e-01, 2.388675483061353e-05, 3.244660662571938e-05, 0.000000000000000e+00
302, -8.015669848708759e+00, 5.979049830575197e+00, 1.750620036976388e-01, 3.501240073952777e-01, 2.474956704267822e-05, 3.317991385489283e-05, 0.000000000000000e+00
303, -7.977944395385704e+00, 6.029295416890256e+00, 1.677171953757237e-01, 3.354343907514473e-01, 2.455036550437173e-05, 3.248496504775668e-05, 0.000000000000000e+00
304, -7.939903986478346e+00, 6.079302976946064e+00, 1.601266066466778e-01, 3.202532132933556e-01, 2.387495150758883e-05, 3.118199954352445e-05, 0.000000000000000e+00
305, -7.901550123756897e+00, 6.129070536529775e+00, 1.492951220822013e-01, 2.985902441644027e-01, 2.424062234909396e-05, 3.125082202608704e-05, 0.000000000000000e+00
306, -7.862884321366181e+00, 6.178596130903353e+00, 1.408805968596813e-01, 2.817611937193626e-01, 2.549133340768252e-05, 3.244028279813756e-05, 0.000000000000000e+00
307, -7.823908105765874e+00, 6.227877804881135e+00, 1.354628394858765e-01, 2.709256789717529e-01, 2.572462192392452e-05, 3.231712058168757e-05, 0.000000000000000e+00
308, -7.784623015670226e+00, 6.276913612907016e+00, 1.266379014490684e-01, 2.532758028981368e-01, 2.610711731109533e-05, 3.237802506551128e-05, 0.000000000000000e+00
309, -7.745030601987329e+00, 6.325701619131255e+00, 1.157166758748779e-01, 2.314333517497558e-01, 2.744299505153597e-05, 3.360051568691014e-05, 0.000000000000000e+00
310, -7.705132427757882e+00, 6.374239897486909e+00, 1.075629160844042e-01, 2.151258321688085e-01, 2.798274209015622e-05, 3.382532458206583e-05, 0.000000000000000e+00
311, -7.664930068093488e+00, 6.422526531765856e+00, 1.001411514108046e-01, 2.002823028216092e-01, 2.770248235271147e-05, 3.306137995629904e-05, 0.000000000000000e+00
312, -7.624425110114467e+00, 6.470559615694455e+00, 9.290947720371087e-02, 1.858189544074217e-01, 2.772861481309518e-05, 3.267333269550058e-05, 0.000000000000000e+00
313, -7.583619152887207e+00, 6.518337253008800e+00, 8.309569623703952e-02, 1.661913924740790e-01, 2.855201185555241e-05, 3.321822353718928e-05, 0.000000000000000e+00
314, -7.542513807361027e+00, 6.565857557529577e+00, 7.452417746709547e-02, 1.490483549341909e-01, 2.991740875810120e-05, 3.436755468136295e-05, 0.000000000000000e+00
315, -7.501110696304583e+00, 6.613118653236532e+00, 7.169296442534125e-02, 1.433859288506825e-01, 2.994477353608749e-05, 3.396567835056630e-05, 0.000000000000000e+00
316, -7.459411454241809e+00, 6.660118674342530e+00, 6.479151475784538e-02, 1.295830295156908e-01, 3.005787876507590e-05, 3.366517867229372e-05, 0.000000000000000e+00
